,df_final_title,index_df_final,my_db_title,index_my_db,fuzzy_value,edited
1635,preppies_in_pantyhose_part_3,8316,preppies_in_pantyhose_part_2,1673,96,no
1636,preppies_in_pantyhose_part_3,8316,preppies_in_pantyhose_part_4,1677,96,no
1638,swingers_on_vacation_part_2,8317,swingers_on_vacation_part_1,1416,96,no
1641,lost_on_vacation_san_diego_part_one,8319,lost_on_vacation_san_diego_part_two,1532,94,no
1648,the_perfect_hostess,8348,the_perfect_host,692,91,no
1657,married_to_the_mob_part_two,8378,married_to_the_mob_part_one,1480,93,no
1661,married_to_the_mob_part_one,8388,married_to_the_mob_part_two,1481,93,no
1667,secret_wifeswap_weekend_part_one,8404,secret_wifeswap_weekend_part_two,1535,94,no
1672,boning_the_butler,8416,banging_the_butler,1525,91,no
1684,preppies_in_pantyhose_part_4,8539,preppies_in_pantyhose_part_3,1663,96,no
1685,preppies_in_pantyhose_part_4,8539,preppies_in_pantyhose_part_2,1673,96,no
1695,the_anniversary_shell_never_forget,8583,the_anniversary_she_ll_never_forget,1433,99,no
1701,krissys_little_kink,8614,krissy_a_little_kink,1502,92,no
1710,angelas_house_of_hedonism_part_3,8689,angelas_house_of_hedonism_part_1,1710,97,no
1733,stay_away_from_my_step_daughter,9027,stay_away_from_my_daughter,1138,91,no
1735,all_roads_lead_to_sex_part_one,9116,all_roads_lead_to_sex_part_two,1200,93,no
1738,slutty_secretary,9240,my_slutty_secretary,274,91,no
1739,hard_cocky,9310,hard_cock,156,95,no
1740,truth_or_bare,9373,truth_or_dare,1259,92,no
1741,these_boots_were_made_for_licking,9383,these_boots_were_made_for_fucking,1372,94,no
1742,zz_erection_2016_part_1,9447,zz_erection_2016_part_2,1389,96,no
1744,zz_erection_2016_part_4,9459,zz_erection_2016_part_2,1389,96,no
1745,zz_erection_2016_part_3,9484,zz_erection_2016_part_2,1389,96,no
